==== Semiconductor Fail Address Log ====
Timestamp: 2024-12-01 21:41:22
----------------------------------------
Fail 1: Bank: 0x00, X: 0x1265, Y: 0x058
Fail 419: Bank: 0x0E, X: 0x00DB, Y: 0x14A
Fail 420: Bank: 0x0D, X: 0x1962, Y: 0x1F2
Fail 421: Bank: 0x0D, X: 0x0B32, Y: 0x116
Fail 422: Bank: 0x06, X: 0x3283, Y: 0x1F3
Fail 423: Bank: 0x01, X: 0x2916, Y: 0x1BA
Fail 424: Bank: 0x0B, X: 0x2CDD, Y: 0x34D
Fail 425: Bank: 0x0F, X: 0x101F, Y: 0x2E7
Fail 426: Bank: 0x0A, X: 0x0A94, Y: 0x244
Fail 427: Bank: 0x0E, X: 0x2377, Y: 0x1EC
Fail 428: Bank: 0x03, X: 0x19EC, Y: 0x056
Fail 429: Bank: 0x03, X: 0x3581, Y: 0x041
Fail 430: Bank: 0x0F, X: 0x3729, Y: 0x00B
Fail 431: Bank: 0x06, X: 0x2D0C, Y: 0x367
Fail 432: Bank: 0x05, X: 0x0A9A, Y: 0x05C
Fail 433: Bank: 0x07, X: 0x3F0C, Y: 0x341
Fail 434: Bank: 0x0B, X: 0x3898, Y: 0x234
Fail 435: Bank: 0x07, X: 0x2F0E, Y: 0x032
Fail 436: Bank: 0x03, X: 0x1797, Y: 0x3BC
Fail 437: Bank: 0x03, X: 0x17E7, Y: 0x09C
Fail 438: Bank: 0x0A, X: 0x24A3, Y: 0x069
Fail 439: Bank: 0x0E, X: 0x2B48, Y: 0x197
Fail 440: Bank: 0x0B, X: 0x28D7, Y: 0x20E
Fail 441: Bank: 0x0C, X: 0x323F, Y: 0x0FD
Fail 442: Bank: 0x0E, X: 0x22B6, Y: 0x25A
Fail 443: Bank: 0x00, X: 0x31CA, Y: 0x31B
Fail 444: Bank: 0x0A, X: 0x1C6B, Y: 0x18D
Fail 445: Bank: 0x03, X: 0x3E0F, Y: 0x0A3
Fail 446: Bank: 0x0A, X: 0x345E, Y: 0x248
Fail 447: Bank: 0x0C, X: 0x0BCF, Y: 0x1BC
Fail 448: Bank: 0x01, X: 0x0F9F, Y: 0x3C5
Fail 449: Bank: 0x0A, X: 0x032D, Y: 0x13B
Fail 450: Bank: 0x03, X: 0x060D, Y: 0x2D8
Fail 451: Bank: 0x01, X: 0x07EB, Y: 0x36C
Fail 452: Bank: 0x04, X: 0x2654, Y: 0x383
Fail 453: Bank: 0x00, X: 0x2A98, Y: 0x1FB
Fail 454: Bank: 0x09, X: 0x040C, Y: 0x015
Fail 455: Bank: 0x0F, X: 0x1378, Y: 0x2CE
Fail 456: Bank: 0x10, X: 0x2C9E, Y: 0x3F9
Fail 457: Bank: 0x03, X: 0x0300, Y: 0x1FF
Fail 458: Bank: 0x06, X: 0x2FC0, Y: 0x3C5
Fail 459: Bank: 0x06, X: 0x0D41, Y: 0x32F
Fail 460: Bank: 0x0C, X: 0x2EA1, Y: 0x131
Fail 461: Bank: 0x05, X: 0x0C96, Y: 0x0E7
Fail 462: Bank: 0x09, X: 0x3120, Y: 0x0F1
Fail 463: Bank: 0x06, X: 0x3D6F, Y: 0x0C7
Fail 464: Bank: 0x06, X: 0x22A7, Y: 0x1B3
Fail 465: Bank: 0x0B, X: 0x1816, Y: 0x1B0
Fail 466: Bank: 0x07, X: 0x2076, Y: 0x2AE
Fail 467: Bank: 0x04, X: 0x1EB4, Y: 0x130
Fail 468: Bank: 0x03, X: 0x0186, Y: 0x179
Fail 469: Bank: 0x08, X: 0x0511, Y: 0x3D2
Fail 470: Bank: 0x0D, X: 0x0455, Y: 0x230
Fail 471: Bank: 0x03, X: 0x24B6, Y: 0x026
Fail 472: Bank: 0x10, X: 0x2930, Y: 0x212
Fail 473: Bank: 0x03, X: 0x2B7E, Y: 0x29B
Fail 474: Bank: 0x06, X: 0x3FDA, Y: 0x011
Fail 475: Bank: 0x03, X: 0x2BBE, Y: 0x081
Fail 476: Bank: 0x0A, X: 0x259B, Y: 0x015
Fail 477: Bank: 0x0E, X: 0x3C83, Y: 0x2CB
Fail 478: Bank: 0x0A, X: 0x2D26, Y: 0x0DE
Fail 479: Bank: 0x0F, X: 0x3DA1, Y: 0x16F
Fail 480: Bank: 0x01, X: 0x3BD3, Y: 0x1C9
Fail 481: Bank: 0x06, X: 0x2680, Y: 0x270
Fail 482: Bank: 0x08, X: 0x201A, Y: 0x0E3
Fail 483: Bank: 0x08, X: 0x17EE, Y: 0x3F5
Fail 484: Bank: 0x0B, X: 0x135C, Y: 0x311
Fail 485: Bank: 0x0A, X: 0x085D, Y: 0x302
Fail 486: Bank: 0x02, X: 0x0D54, Y: 0x337
Fail 487: Bank: 0x01, X: 0x1F58, Y: 0x0A7
Fail 488: Bank: 0x08, X: 0x19CD, Y: 0x29C
Fail 489: Bank: 0x02, X: 0x0014, Y: 0x1C1
Fail 490: Bank: 0x02, X: 0x116A, Y: 0x009
Fail 491: Bank: 0x0A, X: 0x2C65, Y: 0x1A6
Fail 492: Bank: 0x00, X: 0x3CA9, Y: 0x04D
Fail 493: Bank: 0x05, X: 0x2080, Y: 0x24E
Fail 494: Bank: 0x05, X: 0x1466, Y: 0x22C
Fail 495: Bank: 0x00, X: 0x1D57, Y: 0x0DA
Fail 496: Bank: 0x02, X: 0x1580, Y: 0x0E8
Fail 497: Bank: 0x0D, X: 0x1A68, Y: 0x388
Fail 498: Bank: 0x00, X: 0x0581, Y: 0x3E1
Fail 499: Bank: 0x00, X: 0x195A, Y: 0x271
Fail 500: Bank: 0x0F, X: 0x2446, Y: 0x2FE
Fail 501: Bank: 0x07, X: 0x24C6, Y: 0x2A9
Fail 502: Bank: 0x04, X: 0x2B22, Y: 0x2E3
Fail 503: Bank: 0x01, X: 0x30EF, Y: 0x397
Fail 504: Bank: 0x0C, X: 0x33F3, Y: 0x11A
Fail 505: Bank: 0x0E, X: 0x305C, Y: 0x0A0
Fail 506: Bank: 0x03, X: 0x0319, Y: 0x3B8
Fail 507: Bank: 0x0C, X: 0x0797, Y: 0x177
Fail 508: Bank: 0x04, X: 0x055B, Y: 0x12C
Fail 509: Bank: 0x06, X: 0x3279, Y: 0x1B0
Fail 510: Bank: 0x04, X: 0x2F17, Y: 0x036
Fail 511: Bank: 0x09, X: 0x32C4, Y: 0x071
Fail 512: Bank: 0x02, X: 0x1C4F, Y: 0x135
----------------------------------------
